Turn,System llh,MLM llh,USR DLcontext,USR DLfact,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent,Total nodes,Total edges,Average degree,Average degree centrality,Average closeness,Average degree connectivity,Average assortativity,Average node connectivity,Number of components,Number of strong components,Centrality entropy,Closeness entropy,Sparseness,Total explicit triples,Total classes,Total properties,Total instances,Total entities,Property class ratio,Average population,Class property ratio,Attribute richness,Inheritance richness,Relationship richness,Total concept assertions,Total role assertions,Total general concept inclusions,Total axioms,Total aBox axioms,Total tBox axioms,Total world instances,Total semantic statements,Total perspectives,Total mentions,Total interactions,Total utterances,Total sources
10.0,0.41841574980744445,0.5370548288110619,0.9950822,0.9968744,2.0,1.0,1.0,1.0,2.5,2.5,2.5,3.5,2.5,2978.0,8148.0,5.472128945601074,0.0018381353529059706,0.0017145901309477097,0.8842011430349906,-0.11852454747711395,0.0,3.0,-0.11852454747711395,10.121404549846996,2.7398132951607668,0.0009176314689184758,8148.0,294.0,267.0,1388.0,1682.0,0.9081632653061225,4.72108843537415,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,1388.0,540.0,644.0,2935.0,1928.0,1007.0,8.0,6.0,4.0,4.0,,4.0,2.0
11.0,0.0,0.5010480187674891,0.9952119,0.6627243,0.0,,,,,,,,,2994.0,8193.0,5.472945891783567,0.001828581988567847,0.0017179295087969182,0.8899105790913399,-0.11920230028761541,0.0,3.0,-0.11920230028761541,10.133154484085773,2.7409703263060923,0.0009128700509458016,8193.0,294.0,267.0,1402.0,1696.0,0.9081632653061225,4.7687074829931975,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,1402.0,560.0,644.0,2969.0,1962.0,1007.0,10.0,7.0,5.0,5.0,0.0,5.0,2.0
12.0,0.524015568098387,0.6303417997786045,0.99756783,0.76634204,2.5,1.5,1.5,3.0,3.5,3.0,2.5,3.5,2.0,2994.0,8193.0,5.472945891783567,0.001828581988567847,0.0017179295087969182,0.8899105790913399,-0.11920230028761541,0.0,3.0,-0.11920230028761541,10.133154484085773,2.7409703263060923,0.0009128700509458016,8193.0,294.0,267.0,1402.0,1696.0,0.9081632653061225,4.7687074829931975,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,1402.0,560.0,644.0,2969.0,1962.0,1007.0,10.0,7.0,5.0,5.0,,5.0,2.0
13.0,0.0446739841247165,0.400548860215359,0.9974262,0.9965956,0.0,,,,,,,,,2994.0,8193.0,5.472945891783567,0.001828581988567847,0.0017179295087969182,0.8899105790913399,-0.11920230028761541,0.0,3.0,-0.11920230028761541,10.133154484085773,2.7409703263060923,0.0009128700509458016,8193.0,294.0,267.0,1402.0,1696.0,0.9081632653061225,4.7687074829931975,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,1402.0,560.0,644.0,2969.0,1962.0,1007.0,10.0,7.0,5.0,5.0,,5.0,2.0
14.0,0.473640759892985,0.647064308162725,0.99698335,0.99703157,2.0,1.0,1.0,1.0,3.5,2.0,2.5,4.0,3.0,2994.0,8193.0,5.472945891783567,0.001828581988567847,0.0017179295087969182,0.8899105790913399,-0.11920230028761541,0.0,3.0,-0.11920230028761541,10.133154484085773,2.7409703263060923,0.0009128700509458016,8193.0,294.0,267.0,1402.0,1696.0,0.9081632653061225,4.7687074829931975,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,1402.0,560.0,644.0,2969.0,1962.0,1007.0,10.0,7.0,5.0,5.0,,5.0,2.0
15.0,0.2540897231705835,0.9252706319546851,0.9970119,0.9968238,0.0,,,,,,,,,2994.0,8193.0,5.472945891783567,0.001828581988567847,0.0017179295087969182,0.8899105790913399,-0.11920230028761541,0.0,3.0,-0.11920230028761541,10.133154484085773,2.7409703263060923,0.0009128700509458016,8193.0,294.0,267.0,1402.0,1696.0,0.9081632653061225,4.7687074829931975,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,1402.0,560.0,644.0,2969.0,1962.0,1007.0,10.0,7.0,5.0,5.0,,5.0,2.0
16.0,0.3079043030369415,0.5354201198812105,0.99693036,0.995611,2.0,1.0,1.0,1.0,3.5,2.0,2.5,4.0,3.0,2994.0,8193.0,5.472945891783567,0.001828581988567847,0.0017179295087969182,0.8899105790913399,-0.11920230028761541,0.0,3.0,-0.11920230028761541,10.133154484085773,2.7409703263060923,0.0009128700509458016,8193.0,294.0,267.0,1402.0,1696.0,0.9081632653061225,4.7687074829931975,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,1402.0,560.0,644.0,2969.0,1962.0,1007.0,10.0,7.0,5.0,5.0,,5.0,2.0
17.0,0.28727920875059,0.7263343830451685,0.99726367,0.9952242,0.0,,,,,,,,,3008.0,8232.0,5.473404255319149,0.001820220902999385,0.0017221949120984031,0.8946139039248076,-0.12067797527019032,0.0,3.0,-0.12067797527019032,10.142497193451682,2.7421970698030154,0.0009087026793798098,8232.0,294.0,267.0,1413.0,1707.0,0.9081632653061225,4.8061224489795915,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,1413.0,580.0,644.0,3000.0,1993.0,1007.0,11.0,8.0,6.0,6.0,0.0,6.0,2.0
18.0,0.3567689160252965,0.593094766069992,0.9968395,0.9949875,2.5,2.0,3.5,2.5,2.0,2.5,2.0,2.0,1.5,3008.0,8232.0,5.473404255319149,0.001820220902999385,0.0017221949120984031,0.8946139039248076,-0.12067797527019032,0.0,3.0,-0.12067797527019032,10.142497193451682,2.7421970698030154,0.0009087026793798098,8232.0,294.0,267.0,1413.0,1707.0,0.9081632653061225,4.8061224489795915,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,1413.0,580.0,644.0,3000.0,1993.0,1007.0,11.0,8.0,6.0,6.0,,6.0,2.0
19.0,0.0624218332377155,0.3144534080610315,0.99688375,0.9969095,0.0,,,,,,,,,3022.0,8271.0,5.473858371939113,0.0018119359059712392,0.0017299623388495658,0.8992860656021471,-0.12233385796591738,0.0,3.0,-0.12233385796591738,10.151578673573162,2.74341006278012,0.0009045731697969577,8271.0,294.0,267.0,1424.0,1718.0,0.9081632653061225,4.843537414965986,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,1424.0,599.0,644.0,3030.0,2023.0,1007.0,12.0,9.0,7.0,7.0,0.0,7.0,2.0
